Country Name,Indicator,Year,Value
Albania,Participation rate,2023,71.301
Andorra,Participation rate,2023,
Armenia,Participation rate,2023,72.792
Austria,Participation rate,2023,77.976
Azerbaijan,Participation rate,2023,70.173
Belarus,Participation rate,2023,79.324
Belgium,Participation rate,2023,70.576
Bosnia and Herz.,Participation rate,2023,62.678
Bulgaria,Participation rate,2023,73.783
Channel Islands,Participation rate,2023,72.459
Croatia,Participation rate,2023,69.877
Cyprus,Participation rate,2023,79.761
Czechia,Participation rate,2023,77.299
Denmark,Participation rate,2023,80.754
Estonia,Participation rate,2023,81.335
Faroe Islands,Participation rate,2023,
Finland,Participation rate,2023,79.704
France,Participation rate,2023,73.688
Georgia,Participation rate,2023,68.863
Germany,Participation rate,2023,79.861
Gibraltar,Participation rate,2023,
Greece,Participation rate,2023,69.273
Greenland,Participation rate,2023,
Hungary,Participation rate,2023,78.074
Iceland,Participation rate,2023,86.713
Ireland,Participation rate,2023,77.226
Isle of Man,Participation rate,2023,
Italy,Participation rate,2023,66.696
Kazakhstan,Participation rate,2023,79.801
Kosovo,Participation rate,2023,
Kyrgyzstan,Participation rate,2023,69.259
Latvia,Participation rate,2023,76.639
Liechtenstein,Participation rate,2023,
Lithuania,Participation rate,2023,78.175
Luxembourg,Participation rate,2023,74.007
Moldova,Participation rate,2023,72.367
Monaco,Participation rate,2023,
Montenegro,Participation rate,2023,59.846
Netherlands,Participation rate,2023,85.497
North Macedonia,Participation rate,2023,65.889
Norway,Participation rate,2023,80.318
Poland,Participation rate,2023,74.689
Portugal,Participation rate,2023,77.653
Romania,Participation rate,2023,66.732
Russian Federation,Participation rate,2023,75.719
San Marino,Participation rate,2023,
Serbia,Participation rate,2023,72.173
Slovakia,Participation rate,2023,76.455
Slovenia,Participation rate,2023,76.701
Spain,Participation rate,2023,74.586
Sweden,Participation rate,2023,83.988
Switzerland,Participation rate,2023,83.998
Tajikistan,Participation rate,2023,42.697
Turkey,Participation rate,2023,59.364
Turkmenistan,Participation rate,2023,50.468
Ukraine,Participation rate,2023,
United Kingdom,Participation rate,2023,77.032
Uzbekistan,Participation rate,2023,60.873
Albania,GDP per capita,2023,8575.17113446213
Andorra,GDP per capita,2023,46812.4484486309
Armenia,GDP per capita,2023,8053.01066312345
Austria,GDP per capita,2023,56033.573792065
Azerbaijan,GDP per capita,2023,7125.90858368611
Belarus,GDP per capita,2023,7829.05313660622
Belgium,GDP per capita,2023,54700.9093236712
Bosnia and Herz.,GDP per capita,2023,8638.66620201187
Bulgaria,GDP per capita,2023,15885.5391311331
Channel Islands,GDP per capita,2023,74589.1380225191
Croatia,GDP per capita,2023,21865.4562838641
Cyprus,GDP per capita,2023,36551.41796875
Czechia,GDP per capita,2023,31591.1770732969
Denmark,GDP per capita,2023,68453.8769281145
Estonia,GDP per capita,2023,30133.304450454
Faroe Islands,GDP per capita,2023,71717.7042204698
Finland,GDP per capita,2023,52925.6897638424
France,GDP per capita,2023,44690.9345395117
Georgia,GDP per capita,2023,8283.66960242964
Germany,GDP per capita,2023,54343.2265084958
Gibraltar,GDP per capita,2023,
Greece,GDP per capita,2023,23400.7278817691
Greenland,GDP per capita,2023,
Hungary,GDP per capita,2023,22141.8669799276
Iceland,GDP per capita,2023,79636.9548578508
Ireland,GDP per capita,2023,103887.800388081
Isle of Man,GDP per capita,2023,
Italy,GDP per capita,2023,39003.3160954123
Kazakhstan,GDP per capita,2023,12918.8661346014
Kosovo,GDP per capita,2023,5960.15820477447
Kyrgyzstan,GDP per capita,2023,1970.15780961839
Latvia,GDP per capita,2023,22502.8429938094
Liechtenstein,GDP per capita,2023,
Lithuania,GDP per capita,2023,27786.0057829276
Luxembourg,GDP per capita,2023,128678.189942826
Moldova,GDP per capita,2023,6729.41286813969
Monaco,GDP per capita,2023,256580.515122745
Montenegro,GDP per capita,2023,12221.4775546967
Netherlands,GDP per capita,2023,64572.0059558854
North Macedonia,GDP per capita,2023,8624.29360948531
Norway,GDP per capita,2023,87925.0944188399
Poland,GDP per capita,2023,22056.6661704127
Portugal,GDP per capita,2023,27331.2094945255
Romania,GDP per capita,2023,18404.2730871704
Russian Federation,GDP per capita,2023,13817.0458984375
San Marino,GDP per capita,2023,
Serbia,GDP per capita,2023,12281.5058488303
Slovakia,GDP per capita,2023,24491.3771867262
Slovenia,GDP per capita,2023,32610.110922729
Spain,GDP per capita,2023,33509.0127982139
Sweden,GDP per capita,2023,55516.836477474
Switzerland,GDP per capita,2023,99564.710026145
Tajikistan,GDP per capita,2023,1160.81187026311
Turkey,GDP per capita,2023,13105.6585678319
Turkmenistan,GDP per capita,2023,8232.65225980002
Ukraine,GDP per capita,2023,5069.703125
United Kingdom,GDP per capita,2023,49463.8554617343
Uzbekistan,GDP per capita,2023,2849.51461071911
Albania,Unemployment rate,2023,10.108
Andorra,Unemployment rate,2023,
Armenia,Unemployment rate,2023,13.245
Austria,Unemployment rate,2023,5.264
Azerbaijan,Unemployment rate,2023,5.636
Belarus,Unemployment rate,2023,3.461
Belgium,Unemployment rate,2023,5.528
Bosnia and Herz.,Unemployment rate,2023,10.668
Bulgaria,Unemployment rate,2023,4.319
Channel Islands,Unemployment rate,2023,6.187
Croatia,Unemployment rate,2023,6.086
Cyprus,Unemployment rate,2023,6.098
Czechia,Unemployment rate,2023,2.579
Denmark,Unemployment rate,2023,5.094
Estonia,Unemployment rate,2023,6.378
Faroe Islands,Unemployment rate,2023,
Finland,Unemployment rate,2023,7.151
France,Unemployment rate,2023,7.335
Georgia,Unemployment rate,2023,11.537
Germany,Unemployment rate,2023,3.068
Gibraltar,Unemployment rate,2023,
Greece,Unemployment rate,2023,11.066
Greenland,Unemployment rate,2023,
Hungary,Unemployment rate,2023,4.107
Iceland,Unemployment rate,2023,3.518
Ireland,Unemployment rate,2023,4.288
Isle of Man,Unemployment rate,2023,
Italy,Unemployment rate,2023,7.627
Kazakhstan,Unemployment rate,2023,4.821
Kosovo,Unemployment rate,2023,
Kyrgyzstan,Unemployment rate,2023,3.991
Latvia,Unemployment rate,2023,6.465
Liechtenstein,Unemployment rate,2023,
Lithuania,Unemployment rate,2023,6.841
Luxembourg,Unemployment rate,2023,5.184
Moldova,Unemployment rate,2023,1.555
Monaco,Unemployment rate,2023,
Montenegro,Unemployment rate,2023,14.621
Netherlands,Unemployment rate,2023,3.537
North Macedonia,Unemployment rate,2023,13.174
Norway,Unemployment rate,2023,3.572
Poland,Unemployment rate,2023,2.743
Portugal,Unemployment rate,2023,6.509
Romania,Unemployment rate,2023,5.589
Russian Federation,Unemployment rate,2023,3.076
San Marino,Unemployment rate,2023,
Serbia,Unemployment rate,2023,8.268
Slovakia,Unemployment rate,2023,5.84
Slovenia,Unemployment rate,2023,3.652
Spain,Unemployment rate,2023,12.179
Sweden,Unemployment rate,2023,7.611
Switzerland,Unemployment rate,2023,4.043
Tajikistan,Unemployment rate,2023,11.546
Turkey,Unemployment rate,2023,9.388
Turkmenistan,Unemployment rate,2023,4.099
Ukraine,Unemployment rate,2023,
United Kingdom,Unemployment rate,2023,3.984
Uzbekistan,Unemployment rate,2023,4.46